Дата;Открытие;Макс;Мин;Закрытие;
05.09.2018;106640.0000000;106640.0000000;106640.0000000;106640.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106700.0000000;106800.0000000;106700.0000000;106780.0000000;
05.09.2018;106750.0000000;106790.0000000;106750.0000000;106790.0000000;
05.09.2018;106810.0000000;106820.0000000;106810.0000000;106820.0000000;
05.09.2018;106830.0000000;106850.0000000;106830.0000000;106850.0000000;
05.09.2018;106850.0000000;106860.0000000;106850.0000000;106860.0000000;
05.09.2018;106860.0000000;106890.0000000;106860.0000000;106870.0000000;
05.09.2018;106860.0000000;106870.0000000;106830.0000000;106830.0000000;
05.09.2018;106850.0000000;106870.0000000;106850.0000000;106870.0000000;
05.09.2018;106880.0000000;106880.0000000;106830.0000000;106830.0000000;
05.09.2018;106860.0000000;106860.0000000;106850.0000000;106850.0000000;
05.09.2018;106810.0000000;106810.0000000;106810.0000000;106810.0000000;
05.09.2018;106780.0000000;106780.0000000;106780.0000000;106780.0000000;
05.09.2018;106770.0000000;106770.0000000;106770.0000000;106770.0000000;
05.09.2018;106700.0000000;106720.0000000;106700.0000000;106720.0000000;
05.09.2018;106640.0000000;106640.0000000;106600.0000000;106600.0000000;
05.09.2018;106560.0000000;106560.0000000;106550.0000000;106550.0000000;
05.09.2018;106570.0000000;106570.0000000;106570.0000000;106570.0000000;
05.09.2018;106560.0000000;106560.0000000;106560.0000000;106560.0000000;
05.09.2018;106600.0000000;106600.0000000;106590.0000000;106600.0000000;
05.09.2018;106600.0000000;106600.0000000;106600.0000000;106600.0000000;
05.09.2018;106570.0000000;106570.0000000;106570.0000000;106570.0000000;
05.09.2018;106540.0000000;106540.0000000;106520.0000000;106520.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106570.0000000;106570.0000000;106570.0000000;106570.0000000;
05.09.2018;106550.0000000;106550.0000000;106490.0000000;106490.0000000;
05.09.2018;106600.0000000;106620.0000000;106600.0000000;106620.0000000;
05.09.2018;106590.0000000;106590.0000000;106590.0000000;106590.0000000;
05.09.2018;106640.0000000;106640.0000000;106640.0000000;106640.0000000;
05.09.2018;106570.0000000;106570.0000000;106570.0000000;106570.0000000;
05.09.2018;106570.0000000;106570.0000000;106570.0000000;106570.0000000;
05.09.2018;106500.0000000;106500.0000000;106400.0000000;106400.0000000;
05.09.2018;106340.0000000;106340.0000000;106300.0000000;106300.0000000;
05.09.2018;106290.0000000;106320.0000000;106260.0000000;106320.0000000;
05.09.2018;106310.0000000;106310.0000000;106310.0000000;106310.0000000;
05.09.2018;106310.0000000;106380.0000000;106310.0000000;106380.0000000;
05.09.2018;106390.0000000;106390.0000000;106390.0000000;106390.0000000;
05.09.2018;106300.0000000;106300.0000000;106300.0000000;106300.0000000;
05.09.2018;106450.0000000;106450.0000000;106450.0000000;106450.0000000;
05.09.2018;106430.0000000;106430.0000000;106430.0000000;106430.0000000;
05.09.2018;106430.0000000;106430.0000000;106430.0000000;106430.0000000;
05.09.2018;106450.0000000;106450.0000000;106450.0000000;106450.0000000;
05.09.2018;106470.0000000;106470.0000000;106470.0000000;106470.0000000;
05.09.2018;106530.0000000;106530.0000000;106530.0000000;106530.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106500.0000000;106500.0000000;106500.0000000;106500.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106650.0000000;106760.0000000;106650.0000000;106760.0000000;
05.09.2018;106620.0000000;106620.0000000;106610.0000000;106610.0000000;
05.09.2018;106710.0000000;106710.0000000;106710.0000000;106710.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106620.0000000;106620.0000000;106620.0000000;106620.0000000;
05.09.2018;106660.0000000;106660.0000000;106660.0000000;106660.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106630.0000000;106630.0000000;106630.0000000;106630.0000000;
05.09.2018;106670.0000000;106670.0000000;106670.0000000;106670.0000000;
05.09.2018;106600.0000000;106680.0000000;106600.0000000;106620.0000000;
05.09.2018;106700.0000000;106730.0000000;106700.0000000;106730.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106500.0000000;106500.0000000;106500.0000000;106500.0000000;
05.09.2018;106520.0000000;106520.0000000;106520.0000000;106520.0000000;
05.09.2018;106560.0000000;106570.0000000;106560.0000000;106570.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106590.0000000;106590.0000000;106590.0000000;106590.0000000;
05.09.2018;106550.0000000;106550.0000000;106540.0000000;106540.0000000;
05.09.2018;106620.0000000;106620.0000000;106620.0000000;106620.0000000;
05.09.2018;106620.0000000;106620.0000000;106610.0000000;106610.0000000;
05.09.2018;106580.0000000;106580.0000000;106580.0000000;106580.0000000;
05.09.2018;106650.0000000;106650.0000000;106650.0000000;106650.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106760.0000000;106760.0000000;106760.0000000;106760.0000000;
05.09.2018;106840.0000000;106850.0000000;106840.0000000;106850.0000000;
05.09.2018;106800.0000000;106800.0000000;106790.0000000;106790.0000000;
05.09.2018;106830.0000000;106850.0000000;106830.0000000;106840.0000000;
05.09.2018;106760.0000000;106760.0000000;106710.0000000;106720.0000000;
05.09.2018;106740.0000000;106740.0000000;106740.0000000;106740.0000000;
05.09.2018;106740.0000000;106750.0000000;106700.0000000;106710.0000000;
05.09.2018;106600.0000000;106610.0000000;106600.0000000;106610.0000000;
05.09.2018;106600.0000000;106600.0000000;106550.0000000;106550.0000000;
05.09.2018;106490.0000000;106500.0000000;106480.0000000;106500.0000000;
05.09.2018;106520.0000000;106520.0000000;106520.0000000;106520.0000000;
05.09.2018;106520.0000000;106520.0000000;106510.0000000;106510.0000000;
05.09.2018;106570.0000000;106570.0000000;106570.0000000;106570.0000000;
05.09.2018;106580.0000000;106580.0000000;106580.0000000;106580.0000000;
05.09.2018;106510.0000000;106510.0000000;106510.0000000;106510.0000000;
05.09.2018;106700.0000000;106700.0000000;106700.0000000;106700.0000000;
05.09.2018;106600.0000000;106600.0000000;106600.0000000;106600.0000000;
05.09.2018;106550.0000000;106550.0000000;106550.0000000;106550.0000000;
05.09.2018;106460.0000000;106460.0000000;106400.0000000;106400.0000000;
05.09.2018;106370.0000000;106370.0000000;106360.0000000;106360.0000000;
05.09.2018;106280.0000000;106280.0000000;106270.0000000;106270.0000000;
05.09.2018;106260.0000000;106260.0000000;106260.0000000;106260.0000000;
05.09.2018;106480.0000000;106480.0000000;106480.0000000;106480.0000000;
05.09.2018;106320.0000000;106320.0000000;106320.0000000;106320.0000000;
05.09.2018;106340.0000000;106340.0000000;106340.0000000;106340.0000000;
05.09.2018;106350.0000000;106350.0000000;106350.0000000;106350.0000000;
05.09.2018;106340.0000000;106350.0000000;106270.0000000;106270.0000000;
05.09.2018;106250.0000000;106250.0000000;106250.0000000;106250.0000000;
05.09.2018;106370.0000000;106370.0000000;106370.0000000;106370.0000000;
05.09.2018;106350.0000000;106350.0000000;106350.0000000;106350.0000000;
05.09.2018;106360.0000000;106360.0000000;106360.0000000;106360.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106360.0000000;106360.0000000;106360.0000000;106360.0000000;
05.09.2018;106330.0000000;106330.0000000;106330.0000000;106330.0000000;
05.09.2018;106340.0000000;106340.0000000;106340.0000000;106340.0000000;
05.09.2018;106300.0000000;106320.0000000;106300.0000000;106320.0000000;
05.09.2018;106300.0000000;106300.0000000;106250.0000000;106250.0000000;
05.09.2018;106200.0000000;106200.0000000;106190.0000000;106190.0000000;
05.09.2018;106240.0000000;106240.0000000;106240.0000000;106240.0000000;
05.09.2018;106170.0000000;106240.0000000;106160.0000000;106240.0000000;
05.09.2018;106240.0000000;106240.0000000;106240.0000000;106240.0000000;
05.09.2018;106370.0000000;106400.0000000;106370.0000000;106390.0000000;
05.09.2018;106250.0000000;106250.0000000;106240.0000000;106240.0000000;
05.09.2018;106350.0000000;106360.0000000;106350.0000000;106360.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106410.0000000;106410.0000000;106400.0000000;106400.0000000;
05.09.2018;106380.0000000;106380.0000000;106350.0000000;106350.0000000;
05.09.2018;106340.0000000;106340.0000000;106340.0000000;106340.0000000;
05.09.2018;106300.0000000;106300.0000000;106280.0000000;106290.0000000;
05.09.2018;106250.0000000;106250.0000000;106250.0000000;106250.0000000;
05.09.2018;106160.0000000;106160.0000000;106110.0000000;106110.0000000;
05.09.2018;106180.0000000;106180.0000000;106180.0000000;106180.0000000;
05.09.2018;106110.0000000;106110.0000000;106020.0000000;106050.0000000;
05.09.2018;106100.0000000;106120.0000000;106100.0000000;106110.0000000;
05.09.2018;106250.0000000;106290.0000000;106250.0000000;106290.0000000;
05.09.2018;106250.0000000;106250.0000000;106250.0000000;106250.0000000;
05.09.2018;106240.0000000;106240.0000000;106240.0000000;106240.0000000;
05.09.2018;106180.0000000;106180.0000000;106180.0000000;106180.0000000;
05.09.2018;106210.0000000;106210.0000000;106200.0000000;106200.0000000;
05.09.2018;106300.0000000;106300.0000000;106290.0000000;106290.0000000;
05.09.2018;106220.0000000;106220.0000000;106220.0000000;106220.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106440.0000000;106480.0000000;106400.0000000;106400.0000000;
05.09.2018;106360.0000000;106360.0000000;106360.0000000;106360.0000000;
05.09.2018;106360.0000000;106360.0000000;106360.0000000;106360.0000000;
05.09.2018;106370.0000000;106370.0000000;106370.0000000;106370.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106410.0000000;106410.0000000;106410.0000000;106410.0000000;
05.09.2018;106400.0000000;106400.0000000;106400.0000000;106400.0000000;
05.09.2018;106270.0000000;106270.0000000;106250.0000000;106250.0000000;
05.09.2018;106260.0000000;106260.0000000;106260.0000000;106260.0000000;
05.09.2018;106200.0000000;106230.0000000;106200.0000000;106230.0000000;
05.09.2018;106230.0000000;106230.0000000;106230.0000000;106230.0000000;
05.09.2018;106290.0000000;106290.0000000;106290.0000000;106290.0000000;
05.09.2018;106360.0000000;106360.0000000;106360.0000000;106360.0000000;
05.09.2018;106320.0000000;106320.0000000;106320.0000000;106320.0000000;
05.09.2018;106380.0000000;106400.0000000;106380.0000000;106400.0000000;
05.09.2018;106340.0000000;106340.0000000;106340.0000000;106340.0000000;
05.09.2018;106350.0000000;106350.0000000;106350.0000000;106350.0000000;
05.09.2018;106420.0000000;106420.0000000;106420.0000000;106420.0000000;
05.09.2018;106410.0000000;106410.0000000;106410.0000000;106410.0000000;
05.09.2018;106440.0000000;106520.0000000;106440.0000000;106520.0000000;
05.09.2018;106520.0000000;106520.0000000;106520.0000000;106520.0000000;
05.09.2018;106420.0000000;106420.0000000;106420.0000000;106420.0000000;
05.09.2018;106340.0000000;106340.0000000;106340.0000000;106340.0000000;
05.09.2018;106390.0000000;106390.0000000;106360.0000000;106360.0000000;
05.09.2018;106250.0000000;106250.0000000;106250.0000000;106250.0000000;
05.09.2018;106280.0000000;106280.0000000;106280.0000000;106280.0000000;
